"""country""";"""country_code""";year;model_name;organization
"""United States""";"""US""";2026;Gemma 4 31B IT;Google DeepMind
"""United States""";"""US""";2026;Nemotron 3 Super;NVIDIA
"""United States""";"""US""";2026;GPT-5.4;OpenAI
"""United States""";"""US""";2026;GPT-5.4 Pro;OpenAI
"""United States""";"""US""";2026;Gemini 3.1 Flash-Lite;Google
"""United States""";"""US""";2026;Gemini 3.0 Flash-lite;Google DeepMind
"""United States""";"""US""";2026;SWE 1.6;Cognition
"""China""";"""CN""";2026;Qwen 3.5 Flash (hosted 35B-A3B);Alibaba
"""China""";"""CN""";2026;Qwen3.5-122B-A10B;Alibaba
"""China""";"""CN""";2026;Qwen3.5-27B;Alibaba
"""China""";"""CN""";2026;Qwen3.5-9B;Alibaba
"""China""";"""CN""";2026;Qwen3.5-4B;Alibaba
"""China""";"""CN""";2026;Qwen3.5-2B;Alibaba
"""United States""";"""US""";2026;Gemini 3.1 Pro;Google DeepMind
"""United States""";"""US""";2026;Gemini 3.1 Pro;Google DeepMind
"""United States""";"""US""";2026;Arcee Trinity Large;Prime Intellect,Arcee AI
"""United States""";"""US""";2026;Claude Sonnet 4.6;Anthropic
"""China""";"""CN""";2026;GLM-5;Z.ai (Zhipu AI)
"""United States""";"""US""";2026;DreamZero;NVIDIA
"""China""";"""CN""";2026;Qwen 3.5 Plus (hosted 397B-A17B);Alibaba
"""China""";"""CN""";2026;Qwen3.5 397B-A17B;Alibaba
"""China""";"""CN""";2026;MiniMax-M2.5;MiniMax
"""China""";"""CN""";2026;Seedance 2.0;ByteDance
"""China""";"""CN""";2026;GLM-5;Z.ai (Zhipu AI)
"""United States""";"""US""";2026;Composer 1.5;Cursor
"""United States""";"""US""";2026;Claude Opus 4.6;Anthropic
"""United States""";"""US""";2026;"GPT-5.3 Codex
";OpenAI
"""China""";"""CN""";2026;Step 3.5 Flash;StepFun
"""China""";"""CN""";2026;Kimi K2.5;Moonshot
"""China""";"""CN""";2026;Qwen3-Coder-Next;Alibaba
"""China""";"""CN""";2026;Kimi K2.5;Moonshot
"""United States""";"""US""";2026;Helix 02;Figure AI
"""China""";"""CN""";2026;Qwen3-Max-Thinking;Alibaba
"""South Korea """;"""KR """;2025;"Solar Open 100B
";Upstage
"""South Korea """;"""KR """;2025;K-EXAONE;LG AI Research
"""South Korea """;"""KR """;2025;"VAETKI
";NC AI
"""South Korea """;"""KR """;2025;A.X K1;SK Telecom
"""South Korea """;"""KR """;2025;HyperCLOVA X SEED 32B Think;NAVER
"""China""";"""CN""";2025;MiniMax-M2.1;MiniMax
"""China""";"""CN""";2025;GLM-4.7;Z.ai (Zhipu AI)
"""China""";"""CN""";2025;GLM 4.7 Flash;Z.ai (Zhipu AI)
"""United States""";"""US""";2025;GPT-5.2 Codex;OpenAI
"""United States""";"""US""";2025;Gemini 3 Flash;Google DeepMind
"""China""";"""CN""";2025;MiMo-V2-Flash;Xiaomi Corp
"""United States""";"""US""";2025;Nemotron 3-Nano-30B-A3B;NVIDIA
"""United States""";"""US""";2025;GPT-5.2;OpenAI
"""United States""";"""US""";2025;GPT-5.2 Pro;OpenAI
"""United States""";"""US""";2025;Nomos 1;Nous Research
"""European Union""";"""EU""";2025;Devstral 2 (123B);Mistral AI
"""European Union""";"""EU""";2025;Devstral 2 (24B);Mistral AI
"""United States""";"""US""";2025;SIMA 2;Google DeepMind
"""United States""";"""US""";2025;Nova 2 Pro (Preview);Amazon
"""European Union""";"""EU""";2025;Mistral 3 Large;Mistral AI
"""European Union""";"""EU""";2025;Ministral 3 14B;Mistral AI
"""European Union""";"""EU""";2025;Ministral 3 8B;Mistral AI
"""European Union""";"""EU""";2025;Ministral 3 3B;Mistral AI
"""China""";"""CN""";2025;DeepSeek-V3.2;DeepSeek
"""United States""";"""US""";2025;Runway Gen-4.5;Runway
"""China""";"""CN""";2025;DeepSeekMath-V2;DeepSeek
"""United States""";"""US""";2025;INTELLECT-3;Prime Intellect
"""European Union""";"""EU""";2025;FLUX.2;Black Forest Labs
"""United States""";"""US""";2025;Claude Opus 4.5;Anthropic
"""United States""";"""US""";2025;Olmo 3;Allen Institute for AI
"""United States""";"""US""";2025;Gemini 3 Pro Image (Nano Banana Pro);Google DeepMind
"""United States""";"""US""";2025;SAM 3;Meta AI
"""Canada,United States """;"""US """;2025;Olmo 3 32B Instruct;Allen Institute for AI,University of Washington,Carnegie Mellon University (CMU),Stanford University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,Princeton University,Massachusetts Institute of Technology (MIT),University of Maryland
"""Canada,United States """;"""US """;2025;Olmo 3 7B Think;Allen Institute for AI,University of Washington,Carnegie Mellon University (CMU),Stanford University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,Princeton University,Massachusetts Institute of Technology (MIT),University of Maryland
"""Canada,United States """;"""US """;2025;Olmo 3.1 32B Think;Allen Institute for AI,University of Washington,Carnegie Mellon University (CMU),Stanford University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal,Princeton University,Massachusetts Institute of Technology (MIT),University of Maryland
"""United States""";"""US""";2025;Grok 4.1 Fast;xAI
"""United States""";"""US""";2025;GPT-5.1-Codex-Max;OpenAI
"""United States""";"""US""";2025;Gemini 3 Pro;Google DeepMind
"""United States""";"""US""";2025;Grok 4.1;xAI
"""United States""";"""US""";2025;π0.6 (pi-0.6);Physical Intelligence
"""China""";"""CN""";2025;P1-235B-A22B;Shanghai AI Lab
"""United States""";"""US""";2025;GPT-5.1;OpenAI
"""United States""";"""US""";2025;GPT-5.1 Instant;OpenAI
"""United States""";"""US""";2025;GPT-5.1-Codex-mini;OpenAI
"""United States""";"""US""";2025;GPT-5.1-Codex;OpenAI
"""United States""";"""US""";2025;Meta's Generative Ads Model (GEM);Meta AI
"""China""";"""CN""";2025;Kimi K2 Thinking;Moonshot
"""United States""";"""US""";2025;Gen-0;Generalist
"""China""";"""CN""";2025;Emu3.5;Beijing Academy of Artificial Intelligence / BAAI
"""China""";"""CN""";2025;Kimi Linear;Moonshot
"""United States""";"""US""";2025;Composer;Cursor
"""United States""";"""US""";2025;SWE-1.5;Cognition
"""China""";"""CN""";2025;Tongyi DeepResearch;Alibaba
"""China""";"""CN""";2025;MiniMax-M2;MiniMax
"""China,United States""";"""CN,US""";2025;LoongRL 7B;Microsoft Research Asia,Shanghai Jiao Tong University,Carnegie Mellon University (CMU)
"""China,United States""";"""CN,US""";2025;LoongRL 14B;Microsoft Research Asia,Shanghai Jiao Tong University,Carnegie Mellon University (CMU)
"""European Union,Ukraine""";"""EU""";2025;"Lapa LLM

";Ukrainian Catholic University,Igor Sikorsky Kyiv Polytechnic Institute,AGH University of Krakow,Lviv Polytechnic
"""China""";"""CN""";2025;Ring-mini-linear-2.0;Ant Group
"""China""";"""CN""";2025;Ring-flash-linear-2.0;Ant Group
"""China""";"""CN""";2025;Deepseek OCR;DeepSeek
"""China""";"""CN""";2025;BAPO 32B;Fudan University,Shanghai Qiji Zhifeng
"""United States""";"""US""";2025;Odyssey 102B;Anthrogen
"""United States""";"""US""";2025;Odyssey 12B;Anthrogen
"""United States""";"""US""";2025;Odyssey 1.2B;Anthrogen
"""United States""";"""US""";2025;Claude Haiku 4.5;Anthropic
"""United States""";"""US""";2025;Veo 3.1;Google DeepMind
"""United States""";"""US""";2025;Llama 4 Scout + ScaleRL;Meta AI
"""United States""";"""US""";2025;MAI-Image-1;Microsoft
"""United States""";"""US""";2025;C2S-Scale;Google Research,Yale University,Google DeepMind,Brown University,University of Southern California
"""China""";"""CN""";2025;Ring-1T;Ant Group
"""China""";"""CN""";2025;Ling-1T;Ant Group
"""United States""";"""US""";2025;Grok Imagine;xAI
"""United States""";"""US""";2025;GPT-5 Pro;OpenAI
"""United States""";"""US""";2025;Gemini 2.5 Computer Use;Google
"""South Korea """;"""KR """;2025;Tiny Recursive Model (TRM-Att);Samsung SAIT AI Lab
"""United States""";"""US""";2025;Granite-4.0-H-Tiny;IBM
"""United States""";"""US""";2025;Granite-4.0-H-Micro;IBM
"""United States""";"""US""";2025;Granite-4.0-H-Small;IBM
"""United States""";"""US""";2025;Octave 2;Hume
"""United States""";"""US""";2025;EVI 4 mini;Hume
"""China""";"""CN""";2025;GLM-4.6;Z.ai (Zhipu AI),Tsinghua University
"""United States""";"""US""";2025;Sora 2.0;OpenAI
"""United States""";"""US""";2025;Claude Sonnet 4.5;Anthropic
"""United States""";"""US""";2025;NVIDIA Isaac GR00T N1.6;NVIDIA
"""United States""";"""US""";2025;Cosmos-Transfer2.5-2B;NVIDIA
"""United States""";"""US""";2025;Cosmos-Predict2.5-14B;NVIDIA
"""United States""";"""US""";2025;Cosmos-Predict2.5 2B;NVIDIA
"""China""";"""CN""";2025;DeepSeek-V3.2-Exp;DeepSeek
"""China""";"""CN""";2025;MinerU2.5;Shanghai AI Lab,Peking University,Shanghai Jiao Tong University
"""China""";"""CN""";2025;Wan 2.5;Alibaba
"""China""";"""CN""";2025;Seedream 4.0;ByteDance
"""China""";"""CN""";2025;Kling 2.5 Turbo;Kuaishou Technology
"""United States""";"""US""";2025;Suno v5;Suno
"""United States""";"""US""";2025;Gemini Robotics 1.5 ;Google DeepMind
"""United States""";"""US""";2025;Gemini Robotics-ER 1.5;Google DeepMind
"""United States""";"""US""";2025;SimpleFold;Apple
"""China""";"""CN""";2025;DeepSeek-V3.1-Terminus;DeepSeek
"""China""";"""CN""";2025;Qwen3-Omni-Flash;Alibaba
"""China""";"""CN""";2025;Qwen3-Omni-30B-A3B;Alibaba
"""United States""";"""US""";2025;Grok 4 Fast;xAI
"""European Union""";"""EU""";2025;Magistral Small 1.2;Mistral AI
"""European Union""";"""EU""";2025;Magistral Medium 1.2;Mistral AI
"""United States""";"""US""";2025;Granite-Docling;IBM
"""China""";"""CN""";2025;AgentFounder-30B;Alibaba
"""United Kingdom """;"""UK """;2025;Fabric 1.0;Veed
"""United States""";"""US""";2025;GPT‑5-Codex;OpenAI
"""China""";"""CN""";2025;Qwen3-Next-80B-A3B;Alibaba
"""China""";"""CN""";2025;Ling-mini-base-2.0-20T;Ant Group
"""China""";"""CN""";2025;Ling-flash-base-2.0-20T;Ant Group
"""United Arab Emirates""";"""AE""";2025;K2 Think;Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),G42
"""China""";"""CN""";2025;Qwen3-Max;Alibaba
"""United States""";"""US""";2025;EmbeddingGemma;Google DeepMind
"""United States""";"""US""";2025;Chatterbox Multilingual;Resemble AI
"""China""";"""CN""";2025;LongCat-Flash;Meituan Inc
"""United States""";"""US""";2025;MultiverSeg;Massachusetts Institute of Technology (MIT),Databricks
"""United States""";"""US""";2025;gpt-realtime;OpenAI
"""United States""";"""US""";2025;MAI-Voice-1;Microsoft
"""United States""";"""US""";2025;Grok Code Fast 1;xAI
"""China""";"""CN""";2025;Wan 2.2 14B S2V;Alibaba
"""United States""";"""US""";2025;Gemini 2.5 Flash Image (Nano Banana);Google
"""China""";"""CN""";2025;DeepSeek-V3.1;DeepSeek
"""China""";"""CN""";2025;Seed-OSS-36B-Base;ByteDance
"""European Union""";"""EU""";2025;Teuken 7B;OpenGPT-X,Fraunhofer Institute for Algorithms and Scientific Computing,Forschungszentrum Julich,Technische Universität Dresden
"""United States""";"""US""";2025;Surya;NASA,University of Alabama,IBM Research
"""Singapore""";"""SG""";2025;Gemma-SEA-LION-v4-27B-IT;AI Singapore
"""United States""";"""US""";2025;FlowER;Massachusetts Institute of Technology (MIT)
"""United States""";"""US""";2025;MolmoAct-7B-D;Allen Institute for AI,University of Washington
"""United States""";"""US""";2025;NVIDIA-Nemotron-Nano-9B-v2;NVIDIA
"""United States""";"""US""";2025;NVIDIA-Nemotron-Nano-12B-v2;NVIDIA
"""China""";"""CN""";2025;Qwen Image Edit;Alibaba
"""China""";"""CN""";2025;Ovis2.5 9B;Alibaba
"""China""";"""CN""";2025;Ovis2.5 2B;Alibaba
"""China""";"""CN""";2025;GLM-4.5V;Z.ai (Zhipu AI),Tsinghua University
"""China""";"""CN""";2025;GLM-4.1V-Thinking;Z.ai (Zhipu AI),Tsinghua University
"""United States""";"""US""";2025;imagen 4 fast;Google
"""United States""";"""US""";2025;Canary 1B v2;NVIDIA
"""United States""";"""US""";2025;Parakeet-tdt-0.6b-v3;NVIDIA
"""United States""";"""US""";2025;Gemma 3 270M;Google DeepMind
"""United States""";"""US""";2025;DINOv3;Meta AI
"""United States""";"""US""";2025;GPT-5;OpenAI
"""United States""";"""US""";2025;GPT-5 mini;OpenAI
"""United States""";"""US""";2025;GPT-5 nano;OpenAI
"""United States""";"""US""";2025;Claude Opus 4.1;Anthropic
"""United States""";"""US""";2025;gpt-oss-120b;OpenAI
"""United States""";"""US""";2025;gpt-oss-20b;OpenAI
"""China""";"""CN""";2025;GLM-4.5;Z.ai (Zhipu AI),Tsinghua University
"""United States""";"""US""";2025;Genie 3;Google DeepMind
"""China""";"""CN""";2025;GLM-4.5-Air;Z.ai (Zhipu AI),Tsinghua University
"""China""";"""CN""";2025;Qwen Image;Alibaba
"""Singapore""";"""SG""";2025;Hierarchical Reasoning Model (HPM);Sapient Intelligence
